# q I sigma_shared_baseline
8.200000000000003120e-02 5.780283909394089426e-01 1.386129279647106347e-02
8.400000000000003297e-02 5.741946580752277374e-01 1.383334161268679266e-02
8.600000000000003475e-02 5.457529309242532545e-01 1.332195381957639556e-02
8.800000000000003653e-02 5.272764709535778804e-01 1.319627569560046128e-02
9.000000000000003830e-02 5.073399058905023740e-01 1.332035883596610799e-02
9.200000000000004008e-02 4.862436175309045594e-01 1.322574254617545596e-02
9.400000000000004186e-02 4.673625465411316848e-01 1.315154435111452053e-02
9.600000000000004363e-02 4.566637982793423367e-01 1.304818530386192034e-02
9.800000000000004541e-02 4.405068469477230186e-01 1.302478274619860328e-02
1.000000000000000056e-01 4.218301570397143263e-01 1.296570738516283211e-02
1.050000000000000100e-01 3.854479934869127211e-01 8.042314032717811159e-03
1.100000000000000144e-01 3.571294263858179052e-01 7.873777838243002994e-03
1.150000000000000189e-01 3.304734091560473930e-01 7.730419532904417301e-03
1.200000000000000233e-01 3.021380180030781015e-01 7.561980812505611667e-03
1.250000000000000278e-01 2.836018109570029866e-01 7.535213150673853409e-03
1.300000000000000322e-01 2.571166679672297062e-01 7.717953727940589370e-03
1.350000000000000366e-01 2.154605253946053900e-01 7.431598700194142447e-03
1.400000000000000411e-01 2.115169756651052169e-01 7.292107313451106146e-03
1.450000000000000455e-01 2.024887255468103553e-01 7.174287898645365265e-03
1.500000000000000500e-01 1.949385727745777674e-01 7.218517810917473611e-03
1.550000000000000544e-01 1.733420296366594560e-01 7.408307472404597471e-03
1.600000000000000588e-01 1.623807474002181839e-01 7.479929384692169357e-03
1.650000000000000633e-01 1.547092579976899751e-01 7.488197920412006416e-03
1.700000000000000677e-01 1.402526783468642513e-01 7.565839331361309469e-03
1.750000000000000722e-01 1.097389635009430042e-01 7.537411186604887729e-03
1.800000000000000766e-01 1.175737063191037018e-01 7.500102615121139599e-03
1.850000000000000810e-01 1.109804127924735734e-01 7.469338479827707794e-03
