# q I sigma_shared_baseline
2.050000000000000711e+00 -4.764278213665682632e-03 1.824810775848025729e-02
2.080000000000000959e+00 -5.554851389718072456e-03 1.849154856373780298e-02
2.110000000000001208e+00 -7.093360109973484255e-03 1.866747694651967743e-02
2.140000000000001013e+00 -5.393228105590413927e-03 1.862908333274694919e-02
2.170000000000000817e+00 -8.075029751767756614e-03 1.808134082953159402e-02
2.200000000000001066e+00 -6.722212766405694095e-03 1.684930174638486766e-02
2.230000000000001315e+00 -8.760201405409577882e-03 1.542185489506207700e-02
2.260000000000001119e+00 -4.969413810238935622e-03 1.397680574497540441e-02
2.290000000000000924e+00 -4.439189809050721018e-03 1.322235729887456454e-02
2.320000000000001172e+00 -2.792721397193235512e-03 1.277193842646129514e-02
2.350000000000001421e+00 -2.302955771148458650e-03 1.240512537901154733e-02
2.380000000000001226e+00 -5.797504078617165928e-03 1.216104671632886429e-02
2.410000000000001030e+00 -2.879886220508371883e-03 6.546101521535942214e-02
2.440000000000001279e+00 -2.697595153912619309e-03 1.414767177228921369e-01
2.470000000000001528e+00 1.006988116933745349e-03 1.131566102516494768e-02
2.500000000000001332e+00 -3.175393452460716342e-03 1.098349398706545410e-02
2.530000000000001137e+00 -1.469541068087919624e-03 1.079107119998876617e-02
2.560000000000001386e+00 -2.928689564205260581e-03 1.054406177143736231e-02
2.590000000000001634e+00 -1.417496907990489080e-03 1.035601493260792164e-02
2.620000000000001439e+00 -1.357458356735879307e-03 1.018290588298364704e-02
2.650000000000001243e+00 -4.467338028512429999e-04 1.012758994171174438e-02
2.680000000000001492e+00 -9.125156948733469326e-04 1.013185423403787852e-02
2.710000000000001741e+00 -6.098431106292288633e-04 9.901023418952333011e-03
2.740000000000001545e+00 -3.870337633160758368e-03 9.720004152235891398e-03
2.770000000000001350e+00 -2.016496586741981390e-03 9.468625084746992021e-03
2.800000000000001599e+00 5.620936893281573265e-04 9.161630869250916506e-03
2.830000000000001847e+00 -1.436540779813454518e-03 1.079953899467460919e-02
2.860000000000001652e+00 -3.362485791063581520e-03 8.545543716393499273e-03
2.890000000000001457e+00 -1.848120233286880236e-03 8.228549404512876253e-03
2.920000000000001705e+00 -4.336772557325703622e-04 7.867704916003203514e-03
2.950000000000001954e+00 -1.307039509935078178e-03 7.510129643237899513e-03
2.980000000000001759e+00 -1.591530203726214138e-03 7.146564116690390205e-03
3.010000000000001563e+00 -1.734447340204278666e-03 6.803369536164061149e-03
3.040000000000001812e+00 -1.411693388225372806e-05 6.626687171999809389e-03
3.070000000000002061e+00 -1.928826399009863799e-03 6.180760261381756937e-03
3.100000000000001865e+00 -2.884228904203832867e-03 5.851729852571345078e-03
3.130000000000001670e+00 -1.354609826267013034e-03 5.390278486549367719e-03
3.160000000000001918e+00 1.360621470831831431e-03 5.537418175949221887e-03
3.190000000000002167e+00 1.491372892567058165e-03 5.587883200832437572e-03
